County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
KS: Pottawatomie,19%,36%,8.9,26%,58%,9%,2%,31%,10%,75%,0.05,4.3%,"$75,500",11%,54,12%,79%,36%,76%,88%,95%,,,,
KS: Pratt,14%,35%,7.7,29%,71%,11%,10%,33%,14%,74%,0.02,3.6%,"$63,000",20%,19,11%,81%,13%,67%,80%,92%,,,,
KS: Rawlins,50%,37%,7.1,30%,,12%,14%,33%,16%,80%,0.02,2.5%,"$54,400",9%,6,9%,70%,21%,72%,82%,95%,,,,
KS: Reno,25%,40%,7.5,31%,41%,13%,9%,34%,14%,62%,0.07,5.5%,"$57,600",16%,226,13%,83%,17%,70%,83%,90%,,,,
KS: Republic,0%,37%,8.0,29%,46%,12%,6%,34%,13%,72%,0.06,3.3%,"$52,500",18%,8,10%,83%,26%,72%,73%,96%,,,,
KS: Rice,13%,37%,7.5,30%,55%,13%,9%,35%,14%,69%,0.15,4.2%,"$59,700",11%,6,10%,79%,26%,73%,78%,92%,,,,
KS: Riley,27%,30%,5.7,25%,81%,14%,25%,33%,12%,83%,0.03,5.0%,"$56,300",27%,197,20%,70%,13%,44%,89%,96%,,,,
KS: Rooks,0%,37%,8.3,30%,42%,11%,4%,33%,13%,71%,0.08,4.0%,"$51,400",20%,4,6%,78%,18%,73%,80%,89%,,,,
KS: Rush,50%,37%,7.5,30%,30%,12%,11%,34%,13%,70%,,4.6%,"$50,700",24%,5,10%,80%,26%,73%,84%,93%,,,,
KS: Russell,31%,37%,7.6,32%,29%,12%,8%,33%,14%,67%,0.02,4.2%,"$56,500",14%,26,6%,86%,18%,78%,80%,93%,,,,
KS: Saline,24%,36%,7.9,30%,72%,12%,6%,32%,13%,64%,0.05,5.5%,"$56,900",25%,221,11%,81%,9%,65%,84%,92%,,,,
KS: Scott,29%,37%,8.8,31%,73%,9%,5%,33%,17%,53%,0.01,2.5%,"$68,500",10%,16,5%,79%,16%,61%,78%,83%,,,,
KS: Sedgwick,16%,38%,7.5,29%,84%,12%,9%,35%,15%,68%,0.17,8.7%,"$59,800",26%,3691,14%,83%,17%,62%,86%,90%,,,,
KS: Seward,38%,40%,8.3,42%,84%,9%,8%,37%,26%,43%,0.05,4.4%,"$54,300",19%,70,16%,72%,11%,62%,81%,70%,,,,
KS: Shawnee,16%,39%,7.5,29%,85%,12%,11%,35%,11%,67%,0.12,5.9%,"$56,200",23%,789,14%,81%,12%,66%,77%,92%,,,,
KS: Sheridan,0%,37%,7.8,29%,53%,9%,12%,34%,16%,75%,0.02,2.3%,"$58,200",22%,3,9%,65%,23%,80%,84%,96%,,,,
KS: Sherman,0%,37%,6.2,28%,75%,12%,24%,34%,11%,81%,0.01,3.4%,"$52,700",20%,15,14%,70%,10%,66%,90%,90%,,,,
KS: Smith,50%,36%,7.3,29%,61%,13%,11%,34%,13%,74%,0.06,2.7%,"$49,100",16%,1,7%,85%,15%,77%,83%,95%,,,,
KS: Stafford,14%,36%,7.8,31%,44%,12%,8%,34%,17%,73%,0.13,3.7%,"$55,000",19%,9,10%,82%,27%,79%,76%,93%,,,,
KS: Stanton,33%,40%,8.3,35%,70%,12%,3%,34%,19%,35%,0.02,2.4%,"$68,400",17%,,9%,79%,14%,77%,78%,82%,,,,
KS: Stevens,0%,41%,7.5,37%,10%,12%,11%,36%,23%,49%,0.06,2.9%,"$66,600",13%,4,15%,81%,17%,68%,72%,78%,,,,
KS: Sumner,18%,37%,7.9,29%,50%,13%,5%,34%,12%,65%,0.04,8.1%,"$56,600",16%,46,11%,81%,45%,71%,82%,93%,,,,
KS: Thomas,33%,35%,6.9,29%,70%,11%,18%,34%,12%,81%,0.04,2.9%,"$65,200",5%,19,13%,83%,11%,73%,86%,93%,,,,
KS: Trego,29%,35%,8.5,28%,69%,11%,3%,33%,12%,71%,,3.5%,"$60,200",16%,6,2%,80%,18%,77%,88%,94%,,,,
KS: Wabaunsee,41%,36%,7.7,27%,14%,9%,13%,34%,10%,75%,0.06,4.2%,"$64,900",17%,10,7%,73%,48%,83%,78%,96%,,,,
KS: Wallace,0%,35%,7.9,27%,38%,11%,8%,32%,12%,73%,0.07,2.2%,"$57,400",1%,0,5%,69%,23%,68%,86%,95%,,,,
KS: Washington,0%,34%,7.1,29%,32%,11%,15%,33%,14%,58%,0.17,2.5%,"$51,800",11%,4,7%,82%,29%,77%,67%,93%,,,,
KS: Wichita,29%,40%,9.1,31%,73%,8%,2%,33%,19%,70%,0.01,2.1%,"$61,300",12%,6,7%,72%,14%,75%,80%,89%,,,,
KS: Wilson,19%,36%,7.1,32%,31%,15%,8%,35%,14%,67%,0.06,7.8%,"$50,500",28%,21,13%,81%,19%,74%,70%,89%,,,,
KS: Woodson,17%,37%,6.6,33%,12%,17%,10%,36%,15%,63%,,5.9%,"$45,400",22%,9,11%,78%,32%,85%,76%,92%,,,,
KS: Wyandotte,19%,40%,6.9,39%,87%,14%,14%,41%,21%,52%,0.14,7.8%,"$52,200",32%,1134,18%,80%,23%,59%,80%,80%,,,,
KY: Adair,25%,39%,7.2,39%,46%,17%,3%,43%,10%,49%,0.00,7.2%,"$42,400",14%,8,12%,84%,33%,77%,74%,83%,,,,
KY: Allen,38%,38%,7.0,36%,23%,15%,9%,41%,10%,55%,0.01,5.5%,"$50,000",27%,21,13%,77%,43%,75%,73%,84%,,,,
KY: Anderson,32%,38%,8.0,31%,65%,14%,2%,43%,8%,63%,0.01,6.1%,"$65,400",21%,20,11%,84%,46%,75%,81%,90%,,,,
KY: Ballard,25%,40%,8.2,33%,30%,14%,0%,43%,8%,60%,0.03,6.6%,"$48,600",23%,6,10%,92%,24%,79%,78%,89%,,,,
KY: Barren,19%,38%,6.6,38%,51%,18%,8%,43%,10%,49%,0.08,7.5%,"$45,300",28%,54,16%,81%,26%,66%,82%,84%,,,,
KY: Bath,55%,38%,7.2,37%,39%,18%,1%,44%,10%,41%,0.01,8.3%,"$41,800",31%,4,12%,79%,42%,72%,76%,79%,,,,
KY: Bell,13%,42%,5.0,44%,85%,25%,10%,44%,11%,41%,0.11,7.8%,"$30,200",27%,47,18%,79%,37%,63%,66%,74%,,,,
KY: Boone,35%,33%,8.3,27%,85%,9%,9%,40%,7%,72%,0.07,5.4%,"$82,400",20%,169,11%,82%,32%,76%,91%,94%,,,,
KY: Bourbon,32%,38%,7.0,35%,61%,13%,12%,42%,11%,55%,0.06,5.9%,"$52,400",26%,26,12%,80%,36%,63%,79%,86%,,,,
KY: Boyd,35%,43%,6.3,34%,62%,17%,13%,46%,8%,63%,0.06,8.3%,"$54,700",27%,73,12%,84%,26%,68%,83%,88%,,,,
KY: Boyle,38%,38%,7.5,33%,66%,14%,7%,42%,8%,60%,0.10,7.4%,"$53,400",26%,43,13%,80%,27%,69%,81%,89%,,,,
KY: Bracken,33%,38%,8.0,36%,0%,14%,0%,43%,8%,52%,0.02,6.2%,"$55,100",14%,4,13%,76%,53%,76%,74%,87%,,,,
KY: Breathitt,38%,42%,4.7,41%,27%,25%,12%,46%,9%,47%,,10.2%,"$33,900",34%,4,14%,84%,41%,72%,68%,77%,,,,
KY: Breckinridge,25%,39%,7.4,38%,29%,16%,4%,43%,10%,51%,0.02,7.3%,"$50,300",27%,13,12%,79%,47%,82%,75%,86%,,,,
KY: Bullitt,24%,36%,7.8,32%,65%,11%,10%,41%,7%,58%,0.03,6.4%,"$71,800",25%,96,11%,85%,51%,81%,84%,89%,,,,
KY: Butler,25%,39%,7.2,35%,11%,16%,5%,42%,11%,48%,0.04,6.9%,"$44,900",20%,10,11%,83%,46%,72%,74%,82%,,,,
KY: Caldwell,9%,38%,7.7,34%,60%,16%,1%,42%,9%,57%,0.01,6.2%,"$47,700",33%,25,9%,85%,40%,74%,78%,87%,,,,
KY: Calloway,23%,39%,7.3,33%,62%,15%,6%,40%,10%,68%,0.04,6.2%,"$47,400",24%,62,17%,79%,17%,63%,83%,91%,,,,
KY: Campbell,25%,36%,7.7,27%,93%,12%,9%,39%,7%,75%,0.11,5.6%,"$64,200",25%,151,13%,78%,34%,70%,84%,93%,,,,
KY: Carlisle,11%,38%,8.0,36%,8%,13%,3%,43%,11%,46%,0.02,4.7%,"$46,900",19%,2,12%,86%,38%,82%,83%,85%,,,,
KY: Carroll,6%,41%,,38%,55%,16%,,43%,10%,45%,0.01,5.9%,"$52,600",37%,10,16%,83%,25%,66%,72%,81%,,,,
KY: Carter,25%,42%,6.6,41%,43%,20%,4%,45%,11%,48%,0.05,9.6%,"$44,700",21%,15,13%,79%,52%,79%,63%,80%,,,,
KY: Casey,64%,37%,6.8,40%,,18%,6%,46%,13%,39%,0.02,6.2%,"$35,100",23%,6,8%,78%,42%,77%,74%,74%,,,,
KY: Christian,25%,38%,6.2,34%,47%,16%,15%,44%,11%,65%,0.04,7.8%,"$47,000",31%,165,16%,79%,18%,47%,78%,87%,,,,
KY: Clark,8%,38%,7.7,32%,73%,14%,5%,42%,8%,63%,0.01,6.6%,"$58,300",31%,64,12%,83%,39%,69%,82%,87%,,,,
KY: Clay,24%,40%,4.6,44%,99%,25%,14%,47%,11%,33%,0.08,8.6%,"$26,900",33%,17,17%,75%,47%,69%,72%,67%,,,,
KY: Clinton,8%,41%,7.1,42%,8%,18%,1%,44%,11%,44%,0.03,5.1%,"$37,400",27%,6,11%,86%,21%,70%,59%,76%,,,,
KY: Crittenden,8%,37%,7.6,36%,16%,14%,5%,43%,10%,46%,0.04,5.5%,"$46,800",27%,8,12%,77%,31%,83%,68%,85%,,,,
KY: Cumberland,27%,40%,7.7,37%,7%,16%,1%,43%,9%,47%,0.01,4.9%,"$38,300",25%,3,12%,78%,28%,72%,67%,82%,,,,
KY: Daviess,31%,37%,7.6,33%,76%,14%,6%,41%,9%,66%,0.07,6.1%,"$54,900",24%,176,14%,86%,19%,67%,85%,90%,,,,
KY: Edmonson,23%,39%,7.4,37%,42%,17%,2%,43%,11%,52%,0.02,7.7%,"$44,500",26%,10,14%,78%,54%,84%,80%,79%,,,,
KY: Elliott,56%,41%,,42%,12%,22%,,44%,8%,30%,,10.1%,"$35,000",29%,2,12%,82%,59%,78%,67%,76%,,,,
KY: Estill,20%,41%,6.6,40%,59%,22%,0%,44%,10%,41%,0.03,7.5%,"$39,700",31%,7,15%,77%,51%,70%,71%,74%,,,,
KY: Fayette,34%,34%,7.8,28%,98%,12%,7%,39%,10%,77%,0.09,5.7%,"$60,200",26%,"1,163",17%,78%,20%,55%,89%,92%,,,,
KY: Fleming,36%,38%,7.2,37%,47%,17%,3%,44%,12%,59%,0.02,7.3%,"$44,700",19%,8,13%,78%,37%,73%,74%,80%,,,,
KY: Floyd,6%,40%,6.2,39%,29%,22%,3%,45%,10%,45%,0.05,9.2%,"$35,100",29%,20,16%,89%,30%,71%,74%,78%,,,,
KY: Franklin,21%,37%,7.6,29%,80%,12%,9%,40%,9%,68%,0.03,6.6%,"$59,900",29%,135,11%,79%,23%,62%,82%,90%,,,,
KY: Fulton,33%,42%,7.0,40%,81%,19%,0%,46%,8%,40%,0.02,6.5%,"$36,400",52%,6,14%,78%,21%,66%,74%,80%,,,,
KY: Gallatin,17%,38%,,35%,36%,13%,,44%,11%,43%,0.01,6.0%,"$55,700",25%,5,12%,78%,52%,73%,74%,83%,,,,
KY: Garrard,33%,38%,,34%,33%,13%,,41%,11%,61%,0.02,6.3%,"$55,000",23%,16,13%,83%,58%,85%,81%,84%,,,,
KY: Grant,23%,37%,7.9,37%,54%,14%,2%,42%,8%,49%,0.02,7.1%,"$56,300",34%,19,15%,81%,49%,70%,80%,87%,,,,
KY: Graves,22%,39%,7.2,37%,42%,15%,8%,41%,10%,57%,0.13,5.9%,"$44,500",20%,48,12%,87%,26%,74%,78%,89%,,,,
KY: Grayson,22%,41%,6.4,38%,42%,18%,10%,44%,11%,44%,0.02,7.8%,"$42,300",25%,24,12%,81%,33%,74%,71%,83%,,,,
KY: Green,11%,38%,7.1,36%,,17%,4%,42%,12%,47%,0.01,5.4%,"$41,300",28%,4,13%,78%,37%,72%,74%,76%,,,,
KY: Greenup,26%,40%,7.1,33%,68%,16%,7%,41%,8%,65%,0.04,8.9%,"$55,800",20%,18,12%,87%,32%,78%,81%,90%,,,,
KY: Hancock,11%,36%,8.1,33%,14%,12%,5%,41%,7%,58%,0.02,6.1%,"$57,100",21%,5,7%,90%,33%,81%,79%,85%,,,,
KY: Hardin,16%,37%,7.5,33%,60%,13%,9%,44%,7%,70%,0.06,7.1%,"$56,600",26%,170,13%,82%,28%,61%,80%,92%,,,,
KY: Harlan,26%,44%,5.3,43%,53%,27%,3%,47%,10%,50%,0.08,11.9%,"$30,700",27%,17,14%,79%,27%,69%,73%,73%,,,,
KY: Harrison,18%,39%,7.5,34%,46%,15%,5%,41%,9%,53%,0.02,6.1%,"$55,900",17%,24,13%,80%,41%,70%,71%,84%,,,,
KY: Hart,29%,40%,7.1,39%,20%,17%,5%,44%,10%,34%,0.09,6.4%,"$41,600",23%,9,10%,80%,33%,74%,73%,77%,,,,
KY: Henderson,3%,39%,7.5,34%,69%,16%,3%,40%,8%,53%,0.03,6.1%,"$54,700",33%,82,12%,86%,27%,64%,79%,87%,,,,
KY: Henry,28%,38%,7.9,34%,15%,15%,1%,43%,11%,46%,0.05,5.7%,"$53,200",24%,5,14%,82%,46%,71%,76%,84%,,,,
KY: Hickman,25%,40%,7.9,39%,12%,14%,1%,44%,10%,60%,0.00,5.5%,"$46,600",26%,5,12%,75%,19%,80%,79%,85%,,,,
KY: Hopkins,11%,36%,7.1,37%,49%,15%,7%,43%,8%,59%,0.05,7.4%,"$47,600",33%,55,12%,91%,27%,68%,77%,88%,,,,
KY: Jackson,13%,41%,6.0,39%,72%,23%,4%,43%,10%,27%,,8.7%,"$35,900",20%,5,13%,77%,63%,77%,71%,72%,,,,
KY: Jefferson,27%,34%,7.9,32%,87%,12%,6%,40%,8%,70%,0.10,6.8%,"$62,100",33%,"4,676",15%,78%,25%,62%,87%,91%,,,,
KY: Jessamine,27%,37%,7.4,33%,79%,14%,8%,41%,10%,62%,0.01,5.6%,"$67,600",21%,76,14%,77%,35%,67%,86%,88%,,,,
KY: Johnson,0%,40%,6.8,36%,52%,20%,2%,44%,9%,60%,0.04,8.7%,"$40,500",16%,17,14%,81%,29%,71%,80%,83%,,,,
KY: Kenton,27%,35%,7.9,29%,85%,11%,7%,39%,8%,71%,0.13,5.8%,"$66,000",27%,357,12%,81%,29%,68%,89%,91%,,,,
KY: Knott,42%,38%,6.2,40%,19%,23%,1%,44%,10%,54%,,8.5%,"$33,300",34%,3,14%,79%,45%,73%,68%,72%,,,,
KY: Knox,19%,39%,5.0,42%,40%,21%,18%,43%,10%,47%,0.05,8.2%,"$31,600",30%,21,14%,87%,37%,67%,65%,77%,,,,
KY: Larue,21%,39%,7.4,36%,42%,14%,7%,43%,10%,56%,0.01,7.2%,"$51,000",20%,8,12%,86%,43%,76%,72%,84%,,,,
KY: Laurel,30%,36%,6.4,37%,56%,17%,11%,41%,10%,51%,0.04,6.9%,"$50,700",30%,55,15%,84%,25%,70%,77%,81%,,,,
KY: Lawrence,24%,41%,6.3,39%,14%,20%,6%,45%,10%,40%,0.03,8.3%,"$38,200",25%,10,15%,86%,45%,75%,65%,75%,,,,
KY: Lee,0%,43%,6.2,46%,78%,24%,0%,44%,9%,42%,,7.0%,"$30,600",40%,2,18%,80%,50%,69%,65%,69%,,,,
KY: Leslie,36%,41%,5.3,42%,100%,26%,5%,45%,10%,53%,,10.8%,"$39,100",29%,4,18%,86%,53%,85%,74%,78%,,,,
KY: Letcher,23%,42%,,41%,66%,24%,,47%,9%,56%,0.04,10.2%,"$36,300",28%,13,16%,79%,42%,74%,74%,78%,,,,
KY: Lewis,38%,41%,6.8,39%,19%,20%,1%,43%,11%,41%,0.05,9.5%,"$39,300",29%,5,12%,78%,59%,77%,72%,78%,,,,
KY: Lincoln,15%,40%,6.8,38%,34%,16%,9%,42%,11%,46%,0.02,7.9%,"$43,700",25%,9,12%,80%,40%,78%,73%,81%,,,,
KY: Livingston,29%,38%,7.1,34%,40%,16%,7%,41%,9%,57%,0.02,7.5%,"$53,000",16%,6,10%,81%,33%,85%,77%,86%,,,,
KY: Logan,33%,36%,7.9,34%,38%,14%,3%,43%,10%,52%,0.11,5.5%,"$51,900",28%,46,13%,84%,43%,71%,70%,87%,,,,
KY: Lyon,20%,39%,7.8,34%,54%,15%,1%,42%,9%,39%,0.02,5.3%,"$52,000",20%,3,12%,90%,27%,84%,76%,90%,,,,
KY: Madison,33%,39%,6.8,32%,71%,15%,12%,42%,8%,69%,0.03,6.0%,"$55,300",23%,151,15%,81%,36%,61%,84%,88%,,,,
KY: Magoffin,56%,42%,5.8,41%,6%,25%,1%,44%,12%,48%,,16.1%,"$32,400",36%,4,18%,86%,48%,74%,72%,72%,,,,
KY: Marion,50%,40%,6.9,38%,48%,16%,7%,43%,9%,45%,0.05,7.8%,"$57,100",32%,20,15%,83%,19%,73%,77%,83%,,,,
KY: Marshall,28%,39%,8.2,31%,48%,12%,3%,41%,8%,66%,0.03,6.1%,"$56,300",20%,27,11%,86%,26%,83%,86%,90%,,,,
KY: Martin,14%,40%,7.0,39%,33%,19%,1%,46%,9%,53%,,11.6%,"$30,300",14%,8,17%,87%,39%,77%,76%,75%,,,,
KY: Mason,24%,41%,7.1,33%,59%,16%,7%,39%,9%,61%,0.01,8.0%,"$49,200",27%,28,12%,85%,27%,69%,78%,87%,,,,
KY: McCracken,21%,36%,6.6,32%,65%,14%,15%,41%,8%,65%,0.13,7.2%,"$50,700",29%,152,15%,86%,13%,65%,85%,92%,,,,
KY: McCreary,42%,43%,6.4,44%,100%,22%,2%,49%,11%,44%,0.05,7.3%,"$31,500",20%,7,20%,84%,45%,68%,61%,76%,,,,
KY: McLean,27%,38%,8.0,33%,0%,14%,1%,41%,8%,60%,0.02,5.6%,"$48,100",11%,6,9%,87%,45%,78%,79%,89%,,,,
KY: Meade,44%,34%,7.8,32%,45%,13%,6%,41%,7%,66%,0.02,7.1%,"$56,800",16%,22,12%,84%,51%,75%,88%,90%,,,,
KY: Menifee,42%,42%,7.2,37%,84%,19%,0%,43%,9%,35%,,8.9%,"$40,800",17%,2,10%,80%,69%,75%,67%,74%,,,,
KY: Mercer,17%,36%,7.7,33%,60%,14%,5%,42%,9%,59%,0.01,7.3%,"$53,700",14%,20,11%,83%,37%,73%,79%,87%,,,,
KY: Metcalfe,11%,40%,7.4,39%,51%,18%,0%,43%,10%,54%,0.01,7.8%,"$40,000",22%,7,12%,85%,30%,78%,76%,79%,,,,
KY: Monroe,0%,38%,7.2,39%,40%,18%,2%,44%,12%,51%,0.04,5.4%,"$38,400",21%,3,13%,78%,37%,70%,76%,79%,,,,
KY: Montgomery,11%,41%,7.0,34%,63%,16%,6%,43%,9%,51%,0.01,8.0%,"$51,200",21%,38,13%,88%,35%,68%,82%,85%,,,,
KY: Morgan,27%,38%,6.8,39%,47%,18%,4%,43%,11%,38%,,6.9%,"$38,300",23%,3,12%,86%,41%,77%,74%,78%,,,,
KY: Muhlenberg,11%,41%,7.4,39%,42%,15%,5%,41%,10%,50%,0.03,8.7%,"$45,600",20%,25,9%,88%,33%,81%,78%,83%,,,,
KY: Nelson,25%,36%,8.5,32%,72%,11%,1%,41%,7%,65%,0.10,6.9%,"$68,300",19%,49,11%,85%,37%,78%,84%,92%,,,,
KY: Nicholas,8%,41%,6.9,41%,14%,20%,0%,44%,12%,50%,0.01,6.8%,"$48,300",23%,6,14%,80%,61%,70%,68%,80%,,,,
KY: Ohio,27%,35%,7.5,34%,32%,15%,3%,43%,9%,53%,0.06,7.2%,"$48,600",26%,30,12%,84%,39%,78%,75%,82%,,,,
KY: Oldham,23%,33%,9.1,25%,90%,7%,5%,39%,5%,77%,0.04,4.8%,"$105,900",15%,53,8%,83%,48%,86%,92%,94%,,,,
KY: Owen,55%,36%,7.4,37%,16%,16%,4%,44%,10%,49%,0.01,6.4%,"$45,200",14%,2,16%,75%,56%,81%,66%,82%,,,,
KY: Owsley,50%,40%,6.1,40%,73%,23%,1%,44%,9%,39%,,7.4%,"$26,000",46%,4,16%,81%,34%,64%,62%,69%,,,,
KY: Pendleton,25%,36%,8.1,33%,28%,14%,0%,42%,9%,48%,0.01,5.2%,"$60,800",22%,8,15%,85%,68%,71%,73%,84%,,,,
KY: Perry,35%,41%,6.7,39%,69%,21%,1%,42%,9%,58%,0.07,8.9%,"$35,600",30%,17,16%,77%,25%,77%,78%,79%,,,,
KY: Pike,24%,42%,7.0,37%,32%,20%,0%,48%,10%,55%,0.07,8.4%,"$38,900",28%,30,14%,83%,33%,72%,76%,78%,,,,
KY: Powell,20%,39%,7.3,37%,70%,18%,0%,42%,9%,51%,0.01,7.3%,"$40,200",28%,8,15%,87%,48%,70%,68%,81%,,,,
KY: Pulaski,24%,37%,6.8,37%,57%,17%,8%,42%,11%,60%,0.03,7.3%,"$44,700",29%,76,15%,86%,20%,70%,76%,83%,,,,
KY: Robertson,,39%,4.4,36%,3%,18%,29%,42%,10%,42%,,6.1%,"$49,500",16%,0,12%,90%,63%,73%,61%,84%,,,,
KY: Rockcastle,14%,40%,7.5,36%,29%,17%,0%,43%,9%,51%,0.02,7.1%,"$42,200",29%,12,13%,83%,35%,77%,69%,80%,,,,
KY: Rowan,25%,40%,7.0,36%,96%,19%,1%,43%,9%,57%,0.02,7.5%,"$46,500",23%,19,15%,76%,25%,60%,86%,86%,,,,
KY: Russell,32%,38%,7.2,38%,70%,18%,2%,43%,11%,55%,0.02,8.2%,"$41,100",28%,13,14%,86%,26%,75%,73%,82%,,,,
KY: Scott,18%,36%,8.0,29%,79%,11%,7%,39%,7%,69%,0.03,6.3%,"$70,500",20%,84,11%,83%,30%,72%,88%,93%,,,,
KY: Shelby,24%,36%,8.8,32%,71%,10%,0%,42%,11%,61%,0.03,5.5%,"$75,600",20%,54,14%,79%,46%,71%,88%,87%,,,,
KY: Simpson,16%,38%,7.7,34%,69%,13%,7%,43%,9%,48%,0.01,7.2%,"$56,100",16%,33,10%,83%,24%,64%,79%,88%,,,,
KY: Spencer,36%,35%,,30%,35%,10%,,40%,7%,71%,0.01,5.8%,"$83,600",13%,8,8%,84%,65%,87%,87%,93%,,,,
KY: Taylor,7%,38%,7.4,37%,71%,16%,3%,44%,9%,56%,0.05,6.0%,"$48,400",29%,41,13%,82%,21%,64%,82%,88%,,,,
KY: Todd,12%,37%,7.8,37%,1%,14%,3%,45%,14%,47%,0.04,4.8%,"$50,400",18%,11,11%,75%,34%,67%,64%,79%,,,,
KY: Trigg,30%,39%,8.1,33%,52%,13%,2%,43%,9%,67%,0.01,6.9%,"$50,300",17%,16,10%,81%,39%,79%,71%,89%,,,,
KY: Trimble,33%,38%,,36%,50%,15%,,42%,8%,45%,0.01,6.8%,"$65,000",20%,3,13%,75%,46%,78%,68%,84%,,,,
KY: Union,45%,37%,5.8,37%,53%,16%,20%,44%,10%,48%,0.03,6.3%,"$53,100",21%,15,7%,88%,30%,71%,80%,92%,,,,
KY: Warren,20%,35%,7.7,31%,59%,13%,5%,40%,11%,67%,0.09,6.6%,"$56,600",24%,271,15%,81%,18%,58%,88%,88%,,,,
KY: Washington,35%,39%,7.8,34%,11%,13%,5%,42%,10%,60%,0.07,6.2%,"$51,900",20%,7,8%,84%,40%,75%,75%,88%,,,,
KY: Wayne,22%,41%,6.2,40%,30%,19%,10%,44%,10%,37%,0.02,6.5%,"$36,600",29%,16,13%,84%,33%,74%,71%,76%,,,,
KY: Webster,7%,41%,6.4,40%,28%,17%,11%,45%,12%,45%,0.13,6.4%,"$52,900",27%,6,11%,86%,43%,73%,74%,85%,,,,
KY: Whitley,28%,37%,7.0,37%,77%,19%,2%,43%,9%,56%,0.04,7.1%,"$34,600",19%,35,14%,78%,30%,68%,70%,81%,,,,
KY: Wolfe,17%,44%,5.7,43%,31%,25%,3%,46%,9%,29%,,7.7%,"$33,800",31%,6,17%,80%,39%,63%,66%,68%,,,,
KY: Woodford,26%,36%,7.5,28%,68%,11%,12%,41%,9%,65%,0.03,5.0%,"$69,500",21%,20,12%,81%,31%,69%,86%,91%,,,,
LA: Acadia,27%,43%,7.0,38%,47%,18%,3%,38%,13%,41%,0.17,7.3%,"$45,200",32%,274,12%,87%,38%,69%,78%,81%,,,,
LA: Allen,4%,37%,6.8,34%,63%,15%,11%,39%,13%,42%,0.08,9.2%,"$49,700",24%,27,12%,86%,42%,76%,76%,82%,,,,
LA: Ascension,34%,37%,7.9,30%,70%,10%,10%,37%,9%,70%,0.14,6.7%,"$88,700",25%,401,11%,85%,51%,82%,89%,90%,,,,
LA: Assumption,16%,39%,7.5,39%,33%,17%,1%,39%,12%,45%,0.19,10.1%,"$52,000",46%,73,11%,85%,56%,78%,76%,76%,,,,
LA: Avoyelles,22%,43%,6.1,37%,24%,18%,12%,42%,14%,46%,0.08,8.0%,"$40,400",43%,227,15%,84%,45%,70%,75%,79%,,,,
LA: Beauregard,24%,38%,5.8,32%,13%,16%,21%,39%,14%,54%,0.13,6.7%,"$53,700",20%,40,11%,81%,43%,79%,83%,87%,,,,
LA: Bienville,21%,43%,5.2,39%,16%,19%,19%,43%,12%,39%,0.31,7.7%,"$39,700",43%,54,14%,84%,56%,70%,67%,84%,,,,
LA: Bossier,22%,36%,7.0,29%,76%,14%,11%,39%,12%,68%,0.11,6.4%,"$53,200",31%,605,14%,85%,23%,64%,70%,90%,,,,
LA: Caddo,36%,40%,6.1,35%,80%,16%,16%,41%,13%,57%,0.23,9.0%,"$43,200",46%,"1,723",18%,85%,18%,61%,73%,87%,,,,
LA: Calcasieu,34%,38%,6.8,31%,68%,14%,13%,42%,12%,60%,0.25,9.0%,"$57,300",32%,"1,237",13%,85%,21%,68%,80%,87%,,,,
LA: Caldwell,22%,39%,7.0,37%,45%,18%,4%,39%,14%,36%,0.05,7.3%,"$42,500",33%,22,14%,90%,40%,71%,69%,81%,,,,
LA: Cameron,25%,35%,8.0,32%,82%,12%,6%,36%,12%,55%,0.05,5.7%,"$60,900",22%,17,7%,90%,45%,88%,81%,89%,,,,
LA: Catahoula,22%,38%,6.4,37%,13%,16%,14%,40%,12%,37%,0.11,7.1%,"$39,200",27%,38,13%,89%,40%,80%,67%,75%,,,,
LA: Claiborne,53%,43%,5.8,42%,47%,20%,12%,43%,13%,30%,0.15,6.6%,"$37,400",47%,20,19%,87%,40%,68%,50%,79%,,,,
LA: Concordia,53%,42%,5.4,38%,26%,18%,21%,42%,13%,40%,0.29,8.1%,"$37,500",51%,148,14%,89%,25%,73%,68%,81%,,,,
LA: De Soto,12%,40%,6.7,36%,41%,17%,9%,39%,13%,43%,0.23,7.3%,"$43,700",35%,122,13%,82%,39%,72%,74%,83%,,,,
LA: East Baton Rouge,33%,36%,7.1,30%,96%,13%,12%,40%,13%,68%,0.27,7.8%,"$57,100",38%,"2,606",18%,83%,30%,60%,86%,90%,,,,
LA: East Carroll,0%,48%,3.8,48%,52%,25%,22%,46%,12%,29%,,11.7%,"$32,800",70%,47,19%,93%,16%,57%,47%,71%,,,,
LA: East Feliciana,41%,39%,8.4,34%,29%,13%,0%,42%,11%,39%,0.24,6.7%,"$52,200",33%,85,14%,89%,58%,80%,71%,79%,,,,
